BodicTshangla	Tshangla
BurmishBola	Bola
BurmishOldBurmese	Written Burmese
ChepangChepang	Chepang
DengYidu	Yidu
Karbi	Karbi
KirantiBantawa	Bantawa
KirantiKulung	Kulung
LoloishLisu	Lisu
NungicDulong	Dulong
SiniticBeijing	
SiniticJieyang	
SiniticXingning	
TibetanAlike	Alike
TibetanOldTibetan	Written Tibetan
TibetoKinauriByangsi	Byangsi
rGyalrongJaphug	Japhug
BurmishAchang	Achang
BurmishLashi	Lashi
BurmishRangoon	Rangoon
ChinHakha	Hakha
GaroGaro	Garo
KhroskyabsWobzi	Wobzi
KirantiHayu	Hayu
KirantiLimbu	Limbu
MizoLushai	Lushai
QiangicZhaba	Zhaba
SiniticChaozhou	Chaozhou
SiniticLonggang	Longgang
Tangut	Tangut
TibetanBatang	Batang
TibetanXiahe	Xiahe
TibetoKinauriRongpo	Rongpo
rGyalrongMaerkang	Maerkang
BurmishAtsi	Atsi
BurmishMaru	Maru
BurmishXiandao	Xiandao
DengDarangTaraon	Taraon
JingphoJingpho	Jingpho
KirantiBahing	Bahing
KirantiKhaling	Khaling
KirantiThulung	Thulung
NagaUkhrul	Ukhrul
Rabha	Rabha
SiniticGuangzhou	Guangzhou
SiniticOldChinese	Old Chinese
TaniBokar	Bokar
TibetanLhasa	Lhasa
TibetoKinauriBunan	Bunan
rGyalrongDaofu	Daofu